JOBID    NAME         ST   USER       QOS                  ACCOUNT              GROUP      PARTITION            PRIORITY   NODES TIME_LIMIT  TIME_LEFT   NODELIST(REASON)
5732185  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732184  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732183  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732182  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732181  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732179  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732178  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732177  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732176  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732175  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732173  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732172  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732171  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732170  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732169  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732167  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732166  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732165  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732164  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732163  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732161  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732160  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732159  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732158  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732157  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732155  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732154  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732153  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732152  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732151  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732149  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732148  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732147  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732146  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732145  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732140  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732139  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732138  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732137  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732136  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732134  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732133  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732132  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732131  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732130  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732128  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732127  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732126  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732125  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732124  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732122  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732121  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732120  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732119  ubq_2        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732118  ubq_1        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732116  ubq_5        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732115  ubq_4        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5732114  ubq_3        PD   u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100024     1     3-00:00:00  3-00:00:00  (Priority)
5836520  g10p         PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100011     1     2-00:00:00  2-00:00:00  (Priority)
5838551  c100p2       PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100008     1     2-00:00:00  2-00:00:00  (Priority)
5845757  44C-rst5.1   PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100003     1     2-00:00:00  2-00:00:00  (Priority)
5845746  m4C-rst5.3   PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100003     1     2-00:00:00  2-00:00:00  (Priority)
5843367  44C-rst15.1  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100003     1     2-00:00:00  2-00:00:00  (Priority)
5843366  m4C-rst15.3  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100003     1     2-00:00:00  2-00:00:00  (Priority)
5843365  m4C-rst15.2  PD   u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100003     1     2-00:00:00  2-00:00:00  (Priority)
5845756  DRUDE        PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     3-00:00:00  3-00:00:00  (Priority)
5845752  c1p2         PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5845666  c50p2        PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5844302  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844301  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844300  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844299  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844298  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844297  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844296  HG-28mer-eth PD   u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Dependency)
5844109  c50p         PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5843766  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5843504  c5p          PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5843364  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5842611  DRUDE        PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     3-00:00:00  3-00:00:00  (Priority)
5842147  g01p         PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5841247  c50p3        PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5840265  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5839735  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5839688  NMR-re-repli PD   u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5839661  c100p3       PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5838914  g10p3        PD   u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  2-00:00:00  (Priority)
5732104  ubq_5        R    u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100128     1     3-00:00:00  2-17:29:19  notch215
5732106  ubq_1        R    u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100124     1     3-00:00:00  2-18:33:22  notch136
5824466  g01p2        R    u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100122     1     2-00:00:00  1-14:46:22  notch136
5834310  DRUDE        R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100112     1     3-00:00:00  18:39:20    notch136
5822045  c5p2         R    u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100109     1     2-00:00:00  1-09:37:37  notch136
5828668  c1p          R    u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100108     1     2-00:00:00  1-20:09:11  notch215
5834522  NMR-re-repli R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100107     1     2-00:00:00  1-07:10:40  notch215
5732107  ubq_2        R    u0085401   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100105     1     3-00:00:00  2-20:42:09  notch215
5837274  44C-rst5.3   R    u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100103     1     2-00:00:00  1-07:23:00  notch215
5834165  c5p3         R    u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100102     1     2-00:00:00  1-21:05:48  notch136
5836590  44C-rst5.2   R    u0950975   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100102     1     2-00:00:00  1-04:33:21  notch136
5834319  DRUDE        R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100101     1     3-00:00:00  2-04:50:46  notch215
5821110  g01p3        R    u6029153   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100095     1     2-00:00:00  11:49:00    notch136
5834308  DRUDE-3      R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100093     1     3-00:00:00  12:05:43    notch215
5834312  DRUDE        R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100092     1     3-00:00:00  1-12:20:50  notch215
5834318  DRUDE        R    u1260631   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100090     1     3-00:00:00  1-18:27:42  notch136
5842451  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842452  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842453  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842454  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842455  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842456  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5842457  HG-28mer-eth R    u0818159   cheatham-gpu-np      cheatham-gpu-np      cheatham   cheatham-gpu-np      100000     1     2-00:00:00  1-11:00:34  notch299
5793569  ondemand/sys R    u1206611   coe-np               coe-np               hoepfner   coestudent-np        100025     1     12-12:00:00 5-22:47:51  notch312
5751222  run_coe_58.r R    u1113676   coe-np               coe-np               sutherla   coestudent-np        100000     1     14-00:00:00 1-11:08:47  notch317
5751217  run_coe_64.r R    u1113676   coe-np               coe-np               sutherla   coestudent-np        100000     1     14-00:00:00 1-11:08:06  notch316
5751211  run_coe_64.r R    u1113676   coe-np               coe-np               sutherla   coestudent-np        100000     1     14-00:00:00 1-11:07:08  notch315
5751201  run_coe_64.r R    u1113676   coe-np               coe-np               sutherla   coestudent-np        100000     1     14-00:00:00 1-11:06:25  notch314
5845626  CAMx_4_1_33k R    u6003890   daq-np               daq-np               daq        daq-shared-np        100000     1     5-00:00:00  4-13:31:56  notch147
5795433  job_notchpea PD   u1145435   fengt-np             fengt-np             fengt      fengt-np             100487     2     10-00:00:00 10-00:00:00 (Priority)
5795415  job_notchpea PD   u1145435   fengt-np             fengt-np             fengt      fengt-np             100487     2     10-00:00:00 10-00:00:00 (Resources)
5844261  job_notchpea PD   u1414307   fengt-np             fengt-np             fengt      fengt-np             100040     2     4-04:00:00  4-04:00:00  (Priority)
5844262  job_notchpea PD   u1414307   fengt-np             fengt-np             fengt      fengt-np             100040     2     4-04:00:00  4-04:00:00  (Priority)
5844257  job_notchpea PD   u1414307   fengt-np             fengt-np             fengt      fengt-np             100040     1     4-04:00:00  4-04:00:00  (Priority)
5793264  job_notchpea R    u1145435   fengt-np             fengt-np             fengt      fengt-np             100091     2     10-00:00:00 4-07:44:36  notch[338,355]
5778328  job_notchpea R    u1377870   fengt-np             fengt-np             fengt      fengt-np             100000     1     30-00:00:00 21-12:25:37 notch354
5778225  job_notchpea R    u1377870   fengt-np             fengt-np             fengt      fengt-np             100000     2     30-00:00:00 21-12:04:01 notch[336-337]
5736197  job_notchpea R    u1377870   fengt-np             fengt-np             fengt      fengt-np             100000     2     30-00:00:00 16-09:33:33 notch[357-358]
5845735  four_by_one_ R    u1164746   hochhalter-np        hochhalter-np        hochhalter hochhalter-shared-np 100000     1     5-00:00:00  4-16:46:00  notch273
5845734  four_by_one_ R    u1164746   hochhalter-np        hochhalter-np        hochhalter hochhalter-shared-np 100000     1     5-00:00:00  4-16:45:54  notch204
5845702  run_it.slurm R    u1079968   hochhalter-np        hochhalter-np        hochhalter hochhalter-shared-np 100000     1     5-00:00:00  4-15:36:39  notch204
5845697  run_it_ultra R    u1079968   hochhalter-np        hochhalter-np        hochhalter hochhalter-shared-np 100000     1     5-00:00:00  4-15:31:06  notch272
5843990  four_by_one. R    u1164746   hochhalter-np        hochhalter-np        hochhalter hochhalter-shared-np 100000     1     5-00:00:00  4-09:02:36  notch204
5846274  notchcron_wr PD   u1260390   lin-np               lin-np               lin        lin-np               100000     1     2-02:00:00  2-02:00:00  (BeginTime)
5845740  run.slurm    R    u1418387   newell-np            newell-np            newell     newell-np            100181     1     14-00:00:00 13-17:17:19 notch130
